"Product SKU","Product Name","Quantity"
"960","F-00801X","93"
"959","F-00450X","65"
"958","F-00756X","46"
"957","F-00719X","225"
"956","F-00274X","39"
"955","F-01125X","122"
"954","F-00273X","120"
"953","F-00272X","74"
"952","F-00725X","82"
"951","F-00800X","59"
"950","F-01050X","69"
"949","F-00762X","3"
"948","F-00486X","6"
"947","F-00029X","4"
"946","F-00021X","4"
"945","F-00593X","59"
"944","F-00417X","72"
"943","F-00033X","59"
"942","F-00017X","65"
"941","F-00539X","263"
"940","F-00539XM","495"
"939","F-00537X","116"
"938","F-00062X","146"
"937","F-00435","141"
"936","F-00073","155"
"935","F-00622XX","42"
"934","F-00755XX","39"
"933","F-00980","114"
"932","F-00673","78"
"931","F-00358","487"
"930","F-00762XX","13"
"929","F-00486XX","14"
"928","F-00029XX","16"
"927","F-00021XX","18"
"926","F-00033XX","31"
"925","F-00017XX","29"
"924","F-01069","11"
"923","F-01066","0"
"922","F-00537XX","70"
"921","F-00062XX","225"
"920","F-00433A","45"
"919","F-00980X","147"
"918","F-00673X","148"
"917","F-00495","84"
"916","F-00433","194"
"915","F-00343","315"
"914","F-00633","96"
"913","F-00431","97"
"912","F-00081","89"
"911","F-01069X","44"
"910","F-00522","274"
"909","F-00729","70"
"908","F-00113","231"
"907","F-00752","144"
"906","F-00750","146"
"905","F-00286","263"
"904","F-01090","282"
"903","F-00843","149"
"902","F-00816","179"
"901","F-01023","200"
"900","F-00869","214"
"899","F-00045","316"
"898","F-00706","299"
"897","F-00709","276"
"896","F-00961","221"
"895","F-00814","54"
"894","F-00269M","113"
"893","F-00743","85"
"892","F-00269","234"
"891","F-00204","259"
"890","F-00269A","244"
"889","F-01151","141"
"888","F-00749","113"
"887","F-00662M","134"
"886","F-00662","304"
"885","F-00546M","142"
"884","F-00546","201"
"883","F-00139M","134"
"882","F-00139","242"
"881","F-00478","157"
"880","F-00172","144"
"879","F-00548","29"
"878","F-00434","53"
"877","F-00943","306"
"876","F-00057","174"
"875","F-00022","109"
"874","F-00754","126"
"873","F-00492","71"
"872","F-00589AM","20"
"871","F-00394","197"
"870","F-00835","425"
"869","F-00589A","77"
"868","F-00378","582"
"867","F-01048","168"
"866","F-00589M","129"
"865","F-00404","136"
"864","F-00142","0"
"863","F-00981M","145"
"862","F-00981","44"
"861","F-00479M","103"
"860","F-00479","45"
"859","F-00026M","112"
"858","F-00026","34"
"857","F-00589","124"
"856","F-00584","152"
"855","F-00409","196"
"854","F-01024","0"
"853","F-00487","0"
"852","F-00169","0"
"851","F-00979","2"
"850","F-00682","1"
"849","F-00319","0"
"848","F-00088","0"
"847","F-00134","139"
"846","F-00132","149"
"845","F-00996","115"
"844","F-00970","98"
"843","F-01177","170"
"842","F-00810","177"
"841","F-00751","97"
"840","F-00951","68"
"839","F-00872","84"
"838","F-00624","83"
"837","F-00766","104"
"836","F-00375","96"
"835","F-01045","161"
"834","F-00847","147"
"833","F-00940","275"
"832","F-00899","147"
"831","F-00697","150"
"830","F-00540","250"
"829","F-00950","132"
"828","F-00871","78"
"827","F-00270","74"
"826","F-00962","3"
"825","F-00960","0"
"824","F-00914","0"
"823","F-00270M","0"
"822","F-00268","54"
"821","F-00268A","210"
"820","F-00814X","383"
"819","F-00900","147"
"818","F-00809","70"
"817","F-00698","201"
"816","F-00139X1","88"
"815","F-00735","215"
"814","F-00734","420"
"813","F-00128","196"
"812","F-00765","0"
"811","F-00133","0"
"810","F-00985","34"
"809","F-00817","38"
"808","F-01023X","112"
"807","F-00869X","140"
"806","F-00706X","293"
"805","F-00270AX","234"
"804","F-00961X","71"
"803","F-00743X","6"
"802","F-00269X","2"
"801","F-01151Х","24"
"800","F-00749Х","19"
"799","F-00662Х","48"
"798","F-00546Х","51"
"797","F-00139Х","349"
"796","F-00057X","209"
"795","F-00022X","220"
"794","F-00754X","59"
"793","F-00492X","94"
"792","F-01048X","65"
"791","F-00589X","90"
"790","F-00026X","66"
"789","F-00378X","485"
"788","F-00584X","20"
"787","F-00409X","14"
"786","F-00996X","26"
"785","F-00970X","37"
"784","F-01177X","225"
"783","F-00810X","239"
"782","F-00931","121"
"781","F-01054","144"
"780","F-00986","101"
"779","F-00825","91"
"778","F-00752XX","61"
"777","F-00671","92"
"776","F-00951X","97"
"775","F-00872X","99"
"774","F-00624X","88"
"773","F-00838","52"
"772","F-01090XX","39"
"771","F-00766X","50"
"770","F-00375X","49"
"769","F-01028","62"
"768","F-01029","290"
"767","F-01045X","12"
"766","F-00847X","18"
"765","F-00267","245"
"764","F-00266","280"
"763","F-00540X","71"
"762","F-00270X","263"
"761","F-00960X","124"
"760","F-00914X","104"
"759","F-00877","0"
"758","F-00265","0"
"757","F-00839","33"
"756","F-00821","25"
"755","F-00698X","4"
"754","F-00057XX","13"
"753","F-00022XX","28"
"752","F-00735X","62"
"751","F-00734X","490"
"750","F-00128X","230"
"749","F-00492XX","184"
"748","F-00589XX","65"
"747","F-00378XX","275"
"746","F-01048XX","64"
"745","F-00765X","62"
"743","F-00133X","69"
"742","F-00811","186"
"741","F-00408","430"
"740","F-00101","104"
"739","F-00367","164"
"738","F-00931X","45"
"737","F-01054X","0"
"736","F-00986X","0"
"735","F-00825X","0"
"734","F-00671X","0"
"733","F-00838X","83"
"732","F-01028X","64"
"731","F-00922","25"
"730","F-00683","52"
"729","F-00267X","59"
"728","F-00264","40"
"727","F-00263","18"
"726","F-00266X","25"
"725","F-00540XX","406"
"724","F-00877X","341"
"723","F-00265X","290"
"722","F-00839X","144"
"721","F-00821X","148"
"720","F-00859","420"
"719","F-00826","12"
"718","F-01154","23"
"717","F-01019","32"
"716","F-00990","181"
"715","F-00930","112"
"714","F-01176","137"
"713","F-00881","141"
"712","F-00400","118"
"711","F-00780","44"
"710","F-00832","186"
"709","F-00376","89"
"708","F-00259M","156"
"707","F-00259","84"
"706","F-00544A","204"
"705","F-00994","3"
"704","F-00813","1"
"703","F-01138","73"
"702","F-00922X","68"
"701","F-00683X","96"
"700","F-00544","56"
"699","F-00501","4"
"698","F-00952","107"
"697","F-00542M","116"
"696","F-00475","110"
"695","F-00542A","38"
"694","F-00542","0"
"693","F-00257","296"
"692","F-00447","63"
"691","F-00401","18"
"690","F-00401A","48"
"689","F-01107","191"
"688","F-00934","148"
"687","F-00695","126"
"686","F-00583","126"
"685","F-00592","47"
"684","F-00262M","31"
"683","F-00262","22"
"682","F-00258","160"
"681","F-01141","260"
"680","F-00380","214"
"679","F-00694","219"
"678","F-00535","430"
"677","F-00812","1"
"676","F-00545","58"
"675","F-00541","43"
"674","F-00371","41"
"673","F-00261","0"
"672","F-01170","86"
"671","F-00923","93"
"670","F-00545M","123"
"669","F-00371M","108"
"668","F-00261M","84"
"667","F-00206","0"
"666","F-00373","190"
"665","F-00389","105"
"664","F-00675","1"
"663","F-00490","0"
"662","F-00124","31"
"661","F-00047","0"
"660","F-00331","465"
"659","F-00303","241"
"658","F-00483","169"
"657","F-00025","156"
"656","F-00309","211"
"655","F-00256","892"
"654","F-00339","478"
"653","F-00520","304"
"652","F-00141","399"
"651","F-00826X","64"
"650","F-01154X","17"
"649","F-01019X","18"
"648","F-00990X","17"
"647","F-00930X","25"
"646","F-01176X","11"
"645","F-00881X","13"
"644","F-00400X","13"
"643","F-00780X","61"
"642","F-00832X","271"
"641","F-00259X","64"
"640","F-00247","208"
"639","F-01138X","23"
"638","F-00994X","28"
"637","F-00813X","24"
"636","F-00544X","27"
"635","F-00501X","30"
"634","F-00952X","120"
"633","F-00542X","40"
"632","F-00475X","134"
"631","F-01044","0"
"630","F-00447X","0"
"629","F-00401X","0"
"628","F-00255M","0"
"627","F-00401AX","86"
"626","F-00254","3"
"625","F-01107X","104"
"624","F-00934X","84"
"623","F-00254M","91"
"622","F-00253","256"
"621","F-00592X","205"
"620","F-00262X","38"
"619","F-00380X","40"
"618","F-00524","232"
"617","F-00535X","31"
"616","F-00399","233"
"615","F-00251","241"
"614","F-01170X","106"
"613","F-00923X","98"
"612","F-00541X","71"
"611","F-00371X","89"
"610","F-00261X","95"
"609","F-00373X","61"
"608","F-00025X","208"
"607","F-00826XX","47"
"606","F-00242","8"
"605","F-00788","108"
"604","F-00282","172"
"603","F-00860","110"
"602","F-00808","111"
"601","F-00247X","284"
"600","F-00377","175"
"599","F-00714","75"
"598","F-00518M","45"
"597","F-00518","34"
"596","F-00293","72"
"595","F-00241M","81"
"594","F-00241","24"
"593","F-00255X","211"
"592","F-00661M","30"
"591","F-00661","153"
"590","F-00120M","11"
"589","F-00120","94"
"588","F-00411","429"
"587","F-00534M","0"
"586","F-00534","0"
"585","F-00534A","269"
"584","F-00669","49"
"583","F-00288M","48"
"582","F-00253X","50"
"581","F-00288","225"
"580","F-00935","174"
"579","F-00106","76"
"578","F-00819","32"
"577","F-00731","30"
"576","F-00094","3"
"575","F-00524X","141"
"574","F-00094M","121"
"573","F-00658","144"
"572","F-00246","112"
"571","F-00129","63"
"570","F-00488","305"
"569","F-00604","257"
"568","F-00527","297"
"567","F-00126A","92"
"566","F-00281","111"
"565","F-00244","111"
"564","F-01173","66"
"563","F-00096","46"
"562","F-01046","0"
"560","F-00031","77"
"558","F-01046M","221"
"557","F-00448","37"
"556","F-00126","447"
"555","F-01175","69"
"554","F-00653","75"
"553","F-01222","0"
"552","F-01042","0"
"551","F-00485","20"
"550","F-00467","73"
"549","F-00369","68"
"548","F-00023","78"
"547","F-00844","0"
"546","F-00243M","101"
"545","F-00243","0"
"544","F-00093","162"
"543","F-01166","109"
"542","F-00713","117"
"541","F-00071","357"
"540","F-00721","0"
"539","F-00423","93"
"538","F-00530","254"
"537","F-00107","262"
"536","F-00631","0"
"535","F-00509","0"
"534","F-00245","259"
"533","F-00245M","159"
"532","F-00199","270"
"531","F-00009","148"
"530","F-00696","135"
"529","F-00724","244"
"528","F-00406","257"
"527","F-00135","168"
"526","F-00422","188"
"525","F-00196","188"
"524","F-00311","168"
"523","F-00489","247"
"522","F-00312","116"
"521","F-00301","138"
"520","F-00613","122"
"519","F-00072","303"
"518","F-0000C","465"
"517","F-00911","78"
"516","F-00764","71"
"515","F-00015","66"
"514","F-00038M","142"
"513","F-00038","152"
"512","F-00014M","139"
"511","F-00014","38"
"510","F-00243X1","89"
"509","F-00038X1","75"
"508","F-00014X1","100"
"507","F-00242X","74"
"506","F-00377X","33"
"505","F-00714X","72"
"504","F-00518X","70"
"503","F-00293X","72"
"502","F-00241X","62"
"501","F-00120X","144"
"500","F-00534X","88"
"499","F-00534XA","24"
"498","F-00669X","0"
"497","F-00288X","0"
"496","F-00935X","0"
"495","F-00106X","11"
"494","F-00094X","17"
"493","F-00246X","64"
"492","F-00129X","51"
"491","F-00488X","28"
"490","F-00448X","58"
"489","F-00281X","74"
"488","F-00070X","72"
"487","F-01175X","203"
"486","F-00653X","201"
"485","F-00911X","15"
"484","F-00764X","21"
"483","F-00485X","14"
"482","F-00467X","25"
"481","F-00369X","10"
"480","F-00023X","27"
"479","F-00015X","28"
"478","F-00243X","88"
"477","F-00038X","72"
"476","F-00014X","81"
"475","F-00713X","186"
"474","F-00071X","138"
"473","F-00423X","37"
"472","F-00107X","160"
"471","F-00724X","17"
"470","F-00406X","27"
"469","F-00135X","18"
"468","F-00072X","68"
"467","F-00941","16"
"466","F-01099","213"
"465","F-01096","227"
"464","F-01150","213"
"463","F-00712","200"
"462","F-00599","157"
"461","F-00099","105"
"460","F-00234","271"
"459","F-00171A","10"
"458","F-00965","222"
"457","F-00818","142"
"456","F-00171","30"
"455","F-00426","78"
"454","F-00407","72"
"453","F-00233","40"
"452","F-00232","62"
"451","F-00917","178"
"450","F-00878M","186"
"449","F-00878","178"
"448","F-00515M","0"
"447","F-00515","0"
"446","F-00231","0"
"445","F-00291","40"
"444","F-01117","152"
"443","F-00230","46"
"442","F-01009","10"
"441","F-00983","10"
"440","F-00668","10"
"439","F-00240","10"
"438","F-00230M","10"
"437","F-00228","9"
"436","F-01129","5"
"435","F-00919","0"
"434","F-00717","287"
"433","F-00397","62"
"432","F-01092M","135"
"431","F-01092","98"
"430","F-00474","161"
"429","F-00090M","142"
"428","F-00090","73"
"427","F-00488XX","201"
"426","F-01018","35"
"425","F-00229","12"
"424","F-01039","34"
"423","F-00829","143"
"422","F-00716","114"
"421","F-00543","9"
"420","F-00229M","70"
"419","F-00238","42"
"418","F-01039A","18"
"417","F-00612","114"
"416","F-00387M","292"
"415","F-00387","261"
"414","F-00911XX","50"
"413","F-00764XX","39"
"412","F-00485XX","45"
"411","F-00467XX","50"
"410","F-00369XX","45"
"409","F-00023XX","47"
"408","F-00015XX","42"
"407","F-00243XX","7"
"406","F-00227","9"
"405","F-00038XX","3"
"404","F-00014XX","13"
"403","F-00121","90"
"402","F-00095","85"
"401","F-00830","135"
"400","F-00652","130"
"399","F-00121M","136"
"398","F-00095M","175"
"397","F-01158","285"
"396","F-00048","229"
"395","F-00445","0"
"394","F-00077","45"
"393","F-00601","85"
"392","F-00476","59"
"391","F-00966","62"
"390","F-00833","228"
"389","F-00226M","246"
"388","F-00226","28"
"387","F-01021","0"
"386","F-00360","0"
"385","F-00287","283"
"384","F-00237","35"
"383","F-00496","88"
"382","F-00295","106"
"381","F-00198","349"
"380","F-00078","129"
"379","F-00738","46"
"378","F-00831","145"
"377","F-00783","106"
"376","F-00651","176"
"375","F-00239","223"
"374","F-00236","67"
"373","F-00285","26"
"372","F-00028","417"
"371","F-00089","0"
"370","F-01157","89"
"369","F-00332","108"
"368","F-00941X","77"
"367","F-00242XX","31"
"366","F-00599X","44"
"365","F-00234X","89"
"364","F-00965X","29"
"363","F-00426X","63"
"362","F-00407X","72"
"361","F-00233X","64"
"360","F-00232X","74"
"359","F-00878X","84"
"358","F-00917X","129"
"357","F-00231X","117"
"356","F-01009X","79"
"355","F-00983X","72"
"354","F-00668X","91"
"353","F-00240X","87"
"352","F-00230X","93"
"351","F-00228X","76"
"350","F-01129X","14"
"349","F-00919X","13"
"348","F-00397X","269"
"347","F-01092X","189"
"346","F-00474X","180"
"345","F-01018X","15"
"344","F-01039X","71"
"343","F-00716X","76"
"342","F-00543X","64"
"341","F-00229X","65"
"340","F-00829X","71"
"339","F-00612X","59"
"338","F-00238X","55"
"337","F-00933","71"
"336","F-00830X","45"
"335","F-00652X","75"
"334","F-00121X","41"
"333","F-00095X","57"
"332","F-00077X","79"
"331","F-00601X","0"
"330","F-00476X","0"
"329","F-00445X","54"
"328","F-00966X","46"
"327","F-01021X","91"
"326","F-00833X","97"
"325","F-00360X","83"
"324","F-00226X","82"
"323","F-00198X","17"
"322","F-00831X","60"
"321","F-00783X","44"
"320","F-00651X","55"
"319","F-00236X","45"
"318","F-00285X","64"
"317","F-00028X","16"
"316","F-00927","89"
"315","F-00820","78"
"314","F-00837","84"
"313","F-00590","232"
"312","F-00130","0"
"311","F-00086","0"
"310","F-00296","0"
"309","F-01065","175"
"308","F-00758","136"
"307","F-00118","117"
"306","F-00036","156"
"305","F-00032","46"
"304","F-00082","78"
"303","F-00079","42"
"302","F-00926","71"
"301","F-00292M","101"
"300","F-00225M","97"
"299","F-00292","134"
"298","F-00225","112"
"297","F-00224","0"
"296","F-00090XX","260"
"295","F-00499","248"
"294","F-00402","229"
"293","F-00195","306"
"292","F-00223","180"
"291","F-00360XX","9"
"290","F-00226XX","48"
"289","F-00226XM","30"
"288","F-00916","208"
"287","F-00194","250"
"286","F-01179M","111"
"285","F-00396M","120"
"284","F-00024M","113"
"283","F-00012M","108"
"282","F-01179","86"
"281","F-00396","101"
"280","F-00024","96"
"279","F-00012","101"
"278","F-00034","114"
"277","F-00016","141"
"276","F-00642","48"
"275","F-00441","51"
"274","F-00035","30"
"273","F-00018","26"
"272","F-00097","183"
"271","F-00028XX","205"
"270","F-00089X","228"
"269","F-00739","160"
"268","F-00440","114"
"267","F-00865","191"
"266","F-00019","138"
"265","F-00901","0"
"264","F-00926X","10"
"263","F-00292X","11"
"262","F-00225X","2"
"261","F-00499X","14"
"260","F-00402X","17"
"259","F-01179X","97"
"258","F-00396X","97"
"257","F-00024X","81"
"256","F-00034X","24"
"255","F-00016X","27"
"254","F-00642X","17"
"253","F-00441X","16"
"252","F-00035X","11"
"251","F-00018X","0"
"250","F-00739X","0"
"249","F-00440X","0"
"248","F-0000B","473"
"247","F-00938","155"
"246","F-00526","215"
"245","F-00748","35"
"244","F-00123","285"
"243","F-00513","61"
"242","F-00797","66"
"241","F-00672","63"
"240","F-00512","7"
"239","F-00222M","57"
"238","F-00222","17"
"237","F-00221M","67"
"236","F-00221","17"
"235","F-00949","7"
"234","F-00807","37"
"233","F-00223XX","267"
"232","F-00220","92"
"231","F-00670A","52"
"230","F-00494","208"
"229","F-00948","10"
"228","F-00806","38"
"227","F-00670","115"
"226","F-00219","86"
"225","F-00889","1"
"224","F-00381","49"
"223","F-00333","25"
"222","F-00304","37"
"221","F-01010","61"
"220","F-00283","321"
"219","F-00396XX","135"
"218","F-00024XX","149"
"217","F-00642XX","47"
"216","F-00441XX","51"
"215","F-00035XX","55"
"214","F-00018XX","51"
"213","F-00497","8"
"212","F-00796","153"
"211","F-00280","136"
"210","F-00098","141"
"209","F-00890","135"
"208","F-00759","127"
"207","F-00680","136"
"206","F-00193","122"
"205","F-00069","138"
"204","F-00425","68"
"203","F-00284","164"
"202","F-00027","220"
"201","F-00123X","139"
"200","F-00797X","3"
"199","F-00672X","5"
"198","F-00512X","6"
"197","F-00222X","6"
"196","F-00221X","5"
"195","F-00949X","33"
"194","F-00807X","33"
"193","F-00220X","59"
"192","F-00670AX","44"
"191","F-00494X","262"
"190","F-00948X","21"
"189","F-00806X","38"
"188","F-00670X","6"
"187","F-00381X","8"
"186","F-00219X","23"
"185","F-00283X","78"
"184","F-00497X","259"
"183","F-00796X","68"
"182","F-00284X","62"
"181","F-00027X","56"
"180","F-00576","23"
"179","F-00494XX","26"
"178","F-00497XX","43"
"177","F-00547","26"
"176","F-00605","281"
"175","F-00442","358"
"174","F-00493","0"
"173","F-00531","0"
"172","F-00720","0"
"171","F-00667","0"
"170","F-00168","0"
"169","F-01148","159"
"168","F-00547X","63"
"167","F-00191","160"
"166","F-00104","123"
"165","F-00109","69"
"164","F-00420","101"
"163","F-00108","82"
"162","F-00667X","24"
"161","F-00659","43"
"160","F-00531X","22"
"159","F-00186","67"
"158","F-00100","26"
"157","F-00100A","233"
"156","F-00186A","0"
"155","F-01167","17"
"154","F-01153","11"
"153","F-00216","90"
"152","F-00166","18"
"151","F-00562","377"
"150","F-00640","118"
"149","F-00609","106"
"148","F-00502","26"
"147","F-00153","6"
"146","F-00217","45"
"145","F-00058","171"
"144","F-00884","195"
"143","F-00666","58"
"142","F-00054","25"
"141","F-01159","71"
"140","F-00978","386"
"139","F-00887","345"
"138","F-00681","347"
"137","F-00663","316"
"136","F-00558","88"
"135","F-00297","85"
"134","F-00063","62"
"133","F-00138","0"
"132","F-01159X","47"
"131","F-00978X","41"
"130","F-00887X","28"
"129","F-00681X","50"
"128","F-00663X","16"
"127","F-00558X","45"
"126","F-00297X","40"
"125","F-00063X","20"
"124","F-00915","110"
"123","F-00436","108"
"122","F-00641","159"
"121","F-00163","19"
"120","F-00158","16"
"119","F-00146","42"
"118","F-00561","224"
"117","F-00368","126"
"116","F-00868","114"
"115","F-00895","0"
"114","F-00688","0"
"113","F-00677","0"
"112","F-00087","0"
"111","F-00529","310"
"110","F-01071","57"
"109","F-00421","62"
"108","F-00145","66"
"107","F-00143","63"
"106","F-00144","22"
"105","F-00533","181"
"104","F-00607","835"
"103","F-00308","227"
"102","F-00184","343"
"101","F-00886","111"
"100","F-00140","25"
"99","F-01105","257"
"98","F-01100","220"
"97","F-00849","173"
"96","F-00037","3"
"95","F-00011","33"
"94","F-00040","6"
"93","F-00039","12"
"92","F-00030","242"
"91","F-01052","168"
"90","F-01051","143"
"89","F-00418","150"
"88","F-00187","94"
"87","F-00366","8"
"86","F-01072","131"
"85","F-00779","157"
"84","F-00600","97"
"83","F-00403","145"
"82","F-00114","0"
"81","F-00619","221"
"80","F-00769","80"
"79","F-00315","71"
"78","F-00111","267"
"77","F-00740","80"
"76","F-00110","99"
"75","F-00993","612"
"74","F-00459","207"
"73","F-00484","1323"
"72","F-00313","392"
"71","F-00307","14"
"70","F-00163X","251"
"69","F-00993X","156"
"68","F-00313X","21"
"67","F-01140","454"
"66","F-00395","0"
"65","F-00189","0"
"64","F-00657","150"
"63","F-00136","168"
"61","F-01072X","68"
"60","F-00779X","20"
"59","F-00600X","71"
"58","F-00403X","68"
"57","F-00366X","75"
"56","F-00114X","66"
"55","F-00484X","263"
"54","F-00464","361"
"53","F-00185","319"
"52","F-00421X","61"
"51","F-00741","35"
"50","F-00164","54"
"49","F-00959","91"
"48","F-00117","116"
"47","F-00648","59"
"46","F-00517","32"
"45","F-00183","44"
"44","F-00051","34"
"43","F-01091","113"
"42","F-00855","120"
"41","F-00771","116"
"40","F-00152","119"
"39","F-00782","41"
"38","F-00632","54"
"37","F-00080","34"
"36","F-00182","250"
"35","F-00982","14"
"34","F-00519","21"
"33","F-00781X","32"
"32","F-00687","135"
"31","F-00122","144"
"30","F-00165","272"
"29","F-00465","299"
"28","F-00154","0"
"27","F-00473","78"
"26","F-00414","74"
"25","F-00356","59"
"24","F-00556","443"
"23","F-00586","412"
"22","F-00506","117"
"21","F-00148","121"
"20","F-00976","37"
"19","F-01106","79"
"18","F-00894","86"
"17","F-00689","81"
"16","F-00555","86"
"15","F-00149","68"
"14","F-00052","255"
"13","F-00365","47"
"12","F-00744","127"
"11","F-00597","119"
"10","F-00432","102"
"9","F-00523","328"
"8","F-00372","294"
"7","F-00726","295"
"6","F-00178","131"
"5","F-00102","129"
"4","F-00608","341"
"3","F-00355","13"
"2","F-00074","11"
"1","F-0000A","399"
